date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:05:16	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.7b.delayed	(from https://essential.gg/changelog)
20:05:16	0/-1	---M--	301	error ('')			https://essential.gg/twitter	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/twitter.7c.delayed	(from https://essential.gg/changelog)
20:05:16	0/-1	---M--	301	error ('')			https://essential.gg/tiktok	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/tiktok.7d.delayed	(from https://essential.gg/changelog)
20:05:16	0/-1	---M--	301	error ('')			https://essential.gg/privacy	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/privacy.7e.delayed	(from https://essential.gg/changelog)
20:05:16	2630/2630	---MCZ	200	added ('OK')	text/css	etag:%2266d8dc03-a46%22	https://assets.essential.gg/stylesheet/changelog-78bfff8188d20141.css	C:/Users/youareloser/Desktop/Srcs/Essential/esse/assets.essential.gg/stylesheet/changelog-78bfff8188d20141.css	(from https://essential.gg/changelog)
20:05:16	0/-1	---M--	307	error ('')			https://essential.gg/wiki	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/wiki.80.delayed	(from https://essential.gg/licenses)
20:05:16	0/-1	---M--	307	error ('')			https://essential.gg/wiki	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/wiki.81.delayed	(from https://essential.gg/licenses)
20:05:16	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.82.delayed	(from https://essential.gg/licenses)
20:05:16	0/-1	---M--	301	error ('')			https://essential.gg/github	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/github.83.delayed	(from https://essential.gg/licenses)
20:05:16	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.84.delayed	(from https://essential.gg/licenses)
20:05:16	0/-1	---M--	301	error ('')			https://essential.gg/twitter	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/twitter.85.delayed	(from https://essential.gg/licenses)
20:05:16	0/-1	---M--	301	error ('')			https://essential.gg/tiktok	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/tiktok.86.delayed	(from https://essential.gg/licenses)
20:05:16	0/-1	---M--	307	error ('')			https://essential.gg/wiki	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/wiki.87.delayed	(from https://essential.gg/licenses)
20:05:16	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.88.delayed	(from https://essential.gg/licenses)
20:05:16	0/-1	---M--	301	error ('')			https://essential.gg/github	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/github.89.delayed	(from https://essential.gg/licenses)
20:05:16	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.8a.delayed	(from https://essential.gg/licenses)
20:05:16	0/-1	---M--	301	error ('')			https://essential.gg/twitter	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/twitter.8b.delayed	(from https://essential.gg/licenses)
20:05:16	0/-1	---M--	301	error ('')			https://essential.gg/tiktok	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/tiktok.8c.delayed	(from https://essential.gg/licenses)
20:05:16	0/-1	---M--	301	error ('')			https://essential.gg/privacy	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/privacy.8d.delayed	(from https://essential.gg/licenses)
20:05:16	0/-1	---M--	307	error ('')			https://essential.gg/wiki	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/wiki.8e.delayed	(from https://essential.gg/privacy-policy)
20:05:16	0/-1	---M--	307	error ('')			https://essential.gg/wiki	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/wiki.8f.delayed	(from https://essential.gg/privacy-policy)
20:05:16	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.90.delayed	(from https://essential.gg/privacy-policy)
20:05:16	0/-1	---M--	301	error ('')			https://essential.gg/github	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/github.91.delayed	(from https://essential.gg/privacy-policy)
20:05:16	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.92.delayed	(from https://essential.gg/privacy-policy)
20:05:16	0/-1	---M--	301	error ('')			https://essential.gg/twitter	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/twitter.93.delayed	(from https://essential.gg/privacy-policy)
20:05:16	0/-1	---M--	301	error ('')			https://essential.gg/tiktok	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/tiktok.94.delayed	(from https://essential.gg/privacy-policy)
20:05:17	4969/4969	---MCZ	200	added ('OK')	application/javascript	etag:%2266eedfa9-1369%22	https://assets.essential.gg/ecmascript/changelog-legacy-1ab0546e5eed6139.js	C:/Users/youareloser/Desktop/Srcs/Essential/esse/assets.essential.gg/ecmascript/changelog-legacy-1ab0546e5eed6139.js	(from https://essential.gg/changelog)
20:05:17	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2013%20Oct%202024%2023:05:17%20GMT	http://essential.gg/terms	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/terms.95.delayed	(from https://essential.gg/privacy-policy)
20:05:18	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2013%20Oct%202024%2023:05:19%20GMT	https://essential.gg/terms	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/terms.96.delayed	(from https://essential.gg/privacy-policy)
20:05:18	0/-1	---M--	307	error ('')			https://essential.gg/wiki	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/wiki.97.delayed	(from https://essential.gg/privacy-policy)
20:05:18	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.98.delayed	(from https://essential.gg/privacy-policy)
20:05:18	0/-1	---M--	301	error ('')			https://essential.gg/github	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/github.99.delayed	(from https://essential.gg/privacy-policy)
20:05:18	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.9a.delayed	(from https://essential.gg/privacy-policy)
20:05:18	0/-1	---M--	301	error ('')			https://essential.gg/twitter	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/twitter.9b.delayed	(from https://essential.gg/privacy-policy)
20:05:18	0/-1	---M--	301	error ('')			https://essential.gg/tiktok	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/tiktok.9c.delayed	(from https://essential.gg/privacy-policy)
20:05:18	0/-1	---M--	301	error ('')			https://essential.gg/privacy	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/privacy.9d.delayed	(from https://essential.gg/privacy-policy)
